entity_email_id|obj_id|ver_nbr|entity_id|ent_typ_cd|email_typ_cd|email_addr|dflt_ind|actv_ind|last_updt_dt|
1200|5B97C50B04066110E0404F8189D85213|1.0|1100|PERSON|WRK|test@email.edu|Y|Y|20081113140655|
1231|5B97C50B04256110E0404F8189D85213|1.0|1131|PERSON|WRK|test@email.edu|Y|Y|20081113140700|
KFS1000|KFS1000|1.0|KFS1018|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1001|KFS1001|1.0|KFS2943|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1002|KFS1002|1.0|KFS3222|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1003|KFS1003|1.0|KFS3626|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1004|KFS1004|1.0|KFS3776|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1005|KFS1005|1.0|KFS3803|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1006|KFS1006|1.0|KFS3990|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1100|KFS1100|1.0|KFS2743|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1101|KFS1101|1.0|KFS2790|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1102|KFS1102|1.0|KFS2835|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1103|KFS1103|1.0|KFS2978|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1104|KFS1104|1.0|KFS3094|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1105|KFS1105|1.0|KFS4047|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1106|KFS1106|1.0|KFS4048|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1107|KFS1107|1.0|KFS4049|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1108|KFS1108|1.0|KFS4050|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1109|KFS1109|1.0|KFS4051|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1110|KFS1110|1.0|KFS4052|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1111|KFS1111|1.0|KFS4058|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1112|KFS1112|1.0|KFS4059|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1113|KFS1113|1.0|KFS4060|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1114|KFS1114|1.0|KFS4061|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1115|KFS1115|1.0|KFS4062|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1116|KFS1116|1.0|KFS4068|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1117|KFS1117|1.0|KFS4069|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1118|KFS1118|1.0|KFS4070|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1119|KFS1119|1.0|KFS4071|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1120|KFS1120|1.0|KFS4072|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1121|KFS1121|1.0|KFS4078|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1122|KFS1122|1.0|KFS4079|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1123|KFS1123|1.0|KFS4080|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1124|KFS1124|1.0|KFS4081|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1125|KFS1125|1.0|KFS4082|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1126|KFS1126|1.0|KFS4088|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1127|KFS1127|1.0|KFS4089|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1128|KFS1128|1.0|KFS4090|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1129|KFS1129|1.0|KFS4091|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1130|KFS1130|1.0|KFS4092|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1131|KFS1131|1.0|KFS4098|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1132|KFS1132|1.0|KFS4099|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1133|KFS1133|1.0|KFS4100|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1134|KFS1134|1.0|KFS4101|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1135|KFS1135|1.0|KFS4107|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1136|KFS1136|1.0|KFS4108|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1137|KFS1137|1.0|KFS4109|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1138|KFS1138|1.0|KFS4110|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1139|KFS1139|1.0|KFS4111|PERSON|WRK|test@email.edu|Y|Y|20121207233002|
KFS1140|KFS-TEM-KRIM-EMAIL-0001|1.0|KFS3410|PERSON|WRK|bgroff@kuali.org|Y|Y|20121207233002|
