entity_phone_id|obj_id|ver_nbr|entity_id|ent_typ_cd|phone_typ_cd|phone_nbr|phone_extn_nbr|postal_cntry_cd|dflt_ind|actv_ind|last_updt_dt|
10000|KFS-TEM-KRIM-PHONE-0001|1.0|KFS3776|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10001|KFS-TEM-KRIM-PHONE-0154|1.0|KFS2876|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10002|KFS-TEM-KRIM-PHONE-0155|1.0|KFS2937|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10003|KFS-TEM-KRIM-PHONE-0156|1.0|KFS2829|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10004|KFS-TEM-KRIM-PHONE-0157|1.0|KFS3714|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10005|KFS-TEM-KRIM-PHONE-0158|1.0|KFS3239|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10006|KFS-TEM-KRIM-PHONE-0159|1.0|KFS3132|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10007|KFS-TEM-KRIM-PHONE-0160|1.0|KFS3102|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10008|KFS-TEM-KRIM-PHONE-0161|1.0|KFS3913|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10009|KFS-TEM-KRIM-PHONE-0162|1.0|KFS3388|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10010|KFS-TEM-KRIM-PHONE-0163|1.0|KFS1315|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10011|KFS-TEM-KRIM-PHONE-0164|1.0|KFS1012|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10012|KFS-TEM-KRIM-PHONE-0165|1.0|KFS3453|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10013|KFS-TEM-KRIM-PHONE-0166|1.0|KFS1078|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10014|KFS-TEM-KRIM-PHONE-0167|1.0|KFS3503|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10015|KFS-TEM-KRIM-PHONE-0168|1.0|KFS3433|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10016|KFS-TEM-KRIM-PHONE-0169|1.0|KFS2800|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10017|KFS-TEM-KRIM-PHONE-0170|1.0|KFS3900|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10018|KFS-TEM-KRIM-PHONE-0171|1.0|KFS3949|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10019|KFS-TEM-KRIM-PHONE-0172|1.0|KFS3979|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10020|KFS-TEM-KRIM-PHONE-0173|1.0|KFS3952|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10021|KFS-TEM-KRIM-PHONE-0174|1.0|KFS1334|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10022|KFS-TEM-KRIM-PHONE-0175|1.0|KFS3509|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10023|KFS-TEM-KRIM-PHONE-0176|1.0|KFS3993|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10024|KFS-TEM-KRIM-PHONE-0177|1.0|KFS3439|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10025|KFS-TEM-KRIM-PHONE-0178|1.0|KFS3207|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10026|KFS-TEM-KRIM-PHONE-0179|1.0|KFS2567|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10027|KFS-TEM-KRIM-PHONE-0180|1.0|KFS3052|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10028|KFS-TEM-KRIM-PHONE-0181|1.0|KFS2629|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10029|KFS-TEM-KRIM-PHONE-0182|1.0|KFS2943|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10030|KFS-TEM-KRIM-PHONE-0183|1.0|KFS3330|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10031|KFS-TEM-KRIM-PHONE-0184|1.0|KFS1232|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10032|KFS-TEM-KRIM-PHONE-0185|1.0|KFS3821|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10033|KFS-TEM-KRIM-PHONE-0186|1.0|KFS3829|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10034|KFS-TEM-KRIM-PHONE-0187|1.0|KFS3000|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10035|KFS-TEM-KRIM-PHONE-0188|1.0|KFS3430|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10036|KFS-TEM-KRIM-PHONE-0189|1.0|KFS2376|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10037|KFS-TEM-KRIM-PHONE-0190|1.0|KFS1107|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10038|KFS-TEM-KRIM-PHONE-0191|1.0|KFS2936|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10039|KFS-TEM-KRIM-PHONE-0192|1.0|KFS3071|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10040|KFS-TEM-KRIM-PHONE-0193|1.0|KFS2844|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10041|KFS-TEM-KRIM-PHONE-0194|1.0|KFS2578|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10042|KFS-TEM-KRIM-PHONE-0195|1.0|KFS3490|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10043|KFS-TEM-KRIM-PHONE-0196|1.0|KFS2984|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10044|KFS-TEM-KRIM-PHONE-0197|1.0|KFS3639|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10045|KFS-TEM-KRIM-PHONE-0198|1.0|KFS3314|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10046|KFS-TEM-KRIM-PHONE-0199|1.0|KFS3336|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10047|KFS-TEM-KRIM-PHONE-0200|1.0|KFS3571|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10048|KFS-TEM-KRIM-PHONE-0201|1.0|KFS2780|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10049|KFS-TEM-KRIM-PHONE-0202|1.0|KFS1013|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10050|KFS-TEM-KRIM-PHONE-0203|1.0|KFS2857|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10051|KFS-TEM-KRIM-PHONE-0204|1.0|KFS3782|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10052|KFS-TEM-KRIM-PHONE-0205|1.0|KFS2849|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10053|KFS-TEM-KRIM-PHONE-0206|1.0|KFS3903|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10054|KFS-TEM-KRIM-PHONE-0207|1.0|KFS3745|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10055|KFS-TEM-KRIM-PHONE-0208|1.0|KFS3728|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10056|KFS-TEM-KRIM-PHONE-0209|1.0|KFS3204|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10057|KFS-TEM-KRIM-PHONE-0210|1.0|KFS3608|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10058|KFS-TEM-KRIM-PHONE-0211|1.0|KFS3368|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10059|KFS-TEM-KRIM-PHONE-0212|1.0|KFS3481|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10060|KFS-TEM-KRIM-PHONE-0213|1.0|KFS3217|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10061|KFS-TEM-KRIM-PHONE-0214|1.0|KFS3627|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10062|KFS-TEM-KRIM-PHONE-0215|1.0|KFS3584|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10063|KFS-TEM-KRIM-PHONE-0216|1.0|KFS2826|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10064|KFS-TEM-KRIM-PHONE-0217|1.0|KFS3373|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10065|KFS-TEM-KRIM-PHONE-0218|1.0|KFS3401|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10066|KFS-TEM-KRIM-PHONE-0219|1.0|KFS3871|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10067|KFS-TEM-KRIM-PHONE-0220|1.0|KFS2582|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10068|KFS-TEM-KRIM-PHONE-0221|1.0|KFS3507|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10069|KFS-TEM-KRIM-PHONE-0222|1.0|KFS1108|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10070|KFS-TEM-KRIM-PHONE-0223|1.0|KFS3799|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10071|KFS-TEM-KRIM-PHONE-0224|1.0|KFS3991|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10072|KFS-TEM-KRIM-PHONE-0225|1.0|KFS2909|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10073|KFS-TEM-KRIM-PHONE-0226|1.0|KFS2781|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10074|KFS-TEM-KRIM-PHONE-0227|1.0|KFS1077|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10075|KFS-TEM-KRIM-PHONE-0228|1.0|KFS3108|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10076|KFS-TEM-KRIM-PHONE-0229|1.0|KFS2929|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10077|KFS-TEM-KRIM-PHONE-0230|1.0|KFS2991|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10078|KFS-TEM-KRIM-PHONE-0231|1.0|KFS3813|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10079|KFS-TEM-KRIM-PHONE-0232|1.0|KFS3499|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10080|KFS-TEM-KRIM-PHONE-0233|1.0|KFS3589|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10081|KFS-TEM-KRIM-PHONE-0234|1.0|KFS2658|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10082|KFS-TEM-KRIM-PHONE-0235|1.0|KFS3828|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10083|KFS-TEM-KRIM-PHONE-0236|1.0|KFS3172|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10084|KFS-TEM-KRIM-PHONE-0237|1.0|KFS2990|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10085|KFS-TEM-KRIM-PHONE-0238|1.0|KFS3041|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10086|KFS-TEM-KRIM-PHONE-0239|1.0|KFS1068|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10087|KFS-TEM-KRIM-PHONE-0240|1.0|KFS2761|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10088|KFS-TEM-KRIM-PHONE-0241|1.0|KFS3018|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10089|KFS-TEM-KRIM-PHONE-0242|1.0|KFS3646|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
10090|KFS-TEM-KRIM-PHONE-0243|1.0|KFS3099|PERSON|WRK|800-555-1212||US|Y|Y|20121207233008|
