contr_mgr_cd|obj_id|ver_nbr|contr_mgr_nm|contr_mgr_phn_nbr|contr_mgr_fax_nbr|contr_mgr_dlgn_dlr_lmt|actv_ind|
10.0|DC110C03-D20F-A572-E1E6-0037D4AD2D58|2.0|WILLIE PARKE|555-555-5555|444-444-4444|15000.0|Y|
12.0|734B0177-D71A-AB7C-FAAA-91A929B7BA4C|2.0|PATTI POTTER|777-777-7777|999-999-9999|15000.0|Y|
14.0|9CFA5F3C-0680-5D60-8997-064854C9CB62|3.0|MCGEHEE,DARREL L|111-111-1111|222-222-2222|15000.0|Y|
16.0|D60C4B63-A174-440E-E291-00FF08842C45|3.0|GINSBERG,DOYLE N|888-888-8888|333-333-3333|15000.0|Y|
20.0|4B796E80FD3B2827E0404F8189D82B5E|1.0|KOONTZ,ANDREW H|555-555-5555|444-444-4444|15000.0|Y|
21.0|4B796E80FD3C2827E0404F8189D82B5E|1.0|BURTON,AARON I|555-555-5555|444-444-4444|15000.0|Y|
22.0|4B796E80FD3D2827E0404F8189D82B5E|1.0|YOUNG,ADAM J|555-555-5555|444-444-4444|15000.0|Y|
23.0|4B796E80FD3E2827E0404F8189D82B5E|1.0|VOGEL,ANN K|555-555-5555|444-444-4444|15000.0|Y|
24.0|4B796E80FD3F2827E0404F8189D82B5E|1.0|GETZ,ADRIANA L|555-555-5555|444-444-4444|15000.0|Y|
30.0|4B796E80FD402827E0404F8189D82B5E|1.0|DONNELLY,CHRIS K|555-555-5555|444-444-4444|15000.0|Y|
31.0|4B796E80FD412827E0404F8189D82B5E|1.0|PETERSON,CECILIA L|555-555-5555|444-444-4444|15000.0|Y|
32.0|4B796E80FD422827E0404F8189D82B5E|1.0|GREATHOUSE,CATHERINE M|555-555-5555|444-444-4444|15000.0|Y|
33.0|4B796E80FD432827E0404F8189D82B5E|1.0|NOBLE,CARSON N|555-555-5555|444-444-4444|15000.0|Y|
34.0|4B796E80FD442827E0404F8189D82B5E|1.0|MORRISON,CLIFFORD O|555-555-5555|444-444-4444|15000.0|Y|
40.0|4B796E80FD452827E0404F8189D82B5E|1.0|MARIN,DAVID V|555-555-5555|444-444-4444|15000.0|Y|
41.0|4B796E80FD462827E0404F8189D82B5E|1.0|FORSYTHE,DAMON W|555-555-5555|444-444-4444|15000.0|Y|
42.0|4B796E80FD472827E0404F8189D82B5E|1.0|BERRY,DERRICK Y|555-555-5555|444-444-4444|15000.0|Y|
43.0|4B796E80FD482827E0404F8189D82B5E|1.0|SHIPMAN,DELILAH A|555-555-5555|444-444-4444|15000.0|Y|
44.0|4B796E80FD492827E0404F8189D82B5E|1.0|SEARS,DENISE B|555-555-5555|444-444-4444|15000.0|Y|
50.0|4B796E80FD4A2827E0404F8189D82B5E|1.0|NELSON,HARRY O|555-555-5555|444-444-4444|15000.0|Y|
51.0|4B796E80FD4B2827E0404F8189D82B5E|1.0|GONZALES,HECTOR R|555-555-5555|444-444-4444|15000.0|Y|
52.0|4B796E80FD4C2827E0404F8189D82B5E|1.0|MOSS,HAROLD P|555-555-5555|444-444-4444|15000.0|Y|
53.0|4B796E80FD4D2827E0404F8189D82B5E|1.0|WILLIAMS,HARRIET S|555-555-5555|444-444-4444|15000.0|Y|
54.0|4B796E80FD4E2827E0404F8189D82B5E|1.0|BENDER,HANNIBAL T|555-555-5555|444-444-4444|15000.0|Y|
60.0|4B796E80FD4F2827E0404F8189D82B5E|1.0|HENLEY,ISAAC A|555-555-5555|444-444-4444|15000.0|Y|
61.0|4B796E80FD502827E0404F8189D82B5E|1.0|ANDERSON,IRENE B|555-555-5555|444-444-4444|15000.0|Y|
62.0|4B796E80FD512827E0404F8189D82B5E|1.0|MATTHEWS,IMELDA C|555-555-5555|444-444-4444|15000.0|Y|
63.0|4B796E80FD522827E0404F8189D82B5E|1.0|CAIN,IVERSON D|555-555-5555|444-444-4444|15000.0|Y|
64.0|4B796E80FD532827E0404F8189D82B5E|1.0|KLEIN,IRVING E|555-555-5555|444-444-4444|15000.0|Y|
70.0|4B796E80FD542827E0404F8189D82B5E|1.0|BAXTER,MICHAEL S|555-555-5555|444-444-4444|15000.0|Y|
71.0|4B796E80FD552827E0404F8189D82B5E|1.0|GRAY,MARK T|555-555-5555|444-444-4444|15000.0|Y|
72.0|4B796E80FD562827E0404F8189D82B5E|1.0|HANDLEY,MATTHEW U|555-555-5555|444-444-4444|15000.0|Y|
73.0|4B796E80FD572827E0404F8189D82B5E|1.0|LEE,MARISSA V|555-555-5555|444-444-4444|15000.0|Y|
74.0|4B796E80FD582827E0404F8189D82B5E|1.0|LAWYER,MELISSA W|555-555-5555|444-444-4444|15000.0|Y|
80.0|4B796E80FD592827E0404F8189D82B5E|1.0|RYAN,ULYSSES E|555-555-5555|444-444-4444|15000.0|Y|
81.0|4B796E80FD5A2827E0404F8189D82B5E|1.0|SAMPSON,URSULA F|555-555-5555|444-444-4444|15000.0|Y|
82.0|4B796E80FD5B2827E0404F8189D82B5E|1.0|ALLEN,UTAH G|555-555-5555|444-444-4444|15000.0|Y|
83.0|4B796E80FD5C2827E0404F8189D82B5E|1.0|VOSS,USHER H|555-555-5555|444-444-4444|15000.0|Y|
84.0|4B796E80FD5D2827E0404F8189D82B5E|1.0|TROYER,ULRICH I|555-555-5555|444-444-4444|15000.0|Y|
99.0|2E5054C403C230CEE043814FD88130CE|1.0|AUTOMATIC PURCHASE ORDER|7777777777|5554448888|100000.0|Y|
