tem_profile_id|addr_line_1|addr_line_2|city_nm|state_cd|zip_cd|country_cd|ver_nbr|obj_id|cust_addr_id|
1.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D800797CAD17E040E00ABCD67056|0.0|
3.0|123 JOE'S STREET||INDIANAPOLIS|IN|46464|US|2.0|c524e711-2041-45ee-8650-ae6afdc0b916||
4.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D800797FAD17E040E00ABCD67056|0.0|
5.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D8007981AD17E040E00ABCD67056|0.0|
6.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D8007984AD17E040E00ABCD67056|0.0|
7.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D8007986AD17E040E00ABCD67056|0.0|
8.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D8007988AD17E040E00ABCD67056|0.0|
9.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D800798AAD17E040E00ABCD67056|0.0|
10.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D800798CAD17E040E00ABCD67056|0.0|
11.0|EAST PELTASON DR||IRVINE|CA|92697|US|1.0|E074D800798EAD17E040E00ABCD67056|0.0|
