prncpl_id|obj_id|ver_nbr|prncpl_nm|entity_id|prncpl_pswd|actv_ind|last_updt_dt|
1|5B1B6B919CCA6496E0404F8189D822F2|1.0|kr|1||Y|20081107094902|
admin|5B97C50B03C56110E0404F8189D85213|1.0|admin|1100||Y|20081113140643|
admin1|5B97C50B03C66110E0404F8189D85213|1.0|admin1|1125||Y|20081113140644|
admin2|5B97C50B03C76110E0404F8189D85213|1.0|admin2|1126||Y|20081113140644|
dev1|5B97C50B03C86110E0404F8189D85213|1.0|dev1|1129||Y|20081113140644|
dev2|5B97C50B03C96110E0404F8189D85213|1.0|dev2|1130||Y|20081113140644|
director|5B97C50B03CA6110E0404F8189D85213|1.0|director|1135||Y|20081113140644|
doug|5B97C50B03CB6110E0404F8189D85213|1.0|doug|1121||Y|20081113140644|
earl|5B97C50B03CC6110E0404F8189D85213|1.0|earl|1116||Y|20081113140645|
edna|5B97C50B03CD6110E0404F8189D85213|1.0|edna|1114||Y|20081113140645|
employee|5B97C50B03CE6110E0404F8189D85213|1.0|employee|1137||Y|20081113140645|
eric|5B97C50B03CF6110E0404F8189D85213|1.0|eric|1115||Y|20081113140645|
erin|5B97C50B03D06110E0404F8189D85213|1.0|erin|1117||Y|20081113140645|
fran|5B97C50B03D16110E0404F8189D85213|1.0|fran|1119||Y|20081113140645|
frank|5B97C50B03D26110E0404F8189D85213|1.0|frank|1120||Y|20081113140645|
fred|5B97C50B03D36110E0404F8189D85213|1.0|fred|1118||Y|20081113140646|
idm1|5B97C50B03D46110E0404F8189D85213|1.0|idm1|1122||Y|20081113140646|
idm2|5B97C50B03D56110E0404F8189D85213|1.0|idm2|1123||Y|20081113140646|
idm3|5B97C50B03D66110E0404F8189D85213|1.0|idm3|1124||Y|20081113140646|
kuluser|5B97C50B03BA6110E0404F8189D85213|1.0|kuluser|1136||Y|20081113140642|
newaccountuser|5B97C50B03D76110E0404F8189D85213|1.0|newacctusr|1133||Y|20081113140646|
notsys|5B97C50B03BB6110E0404F8189D85213|1.0|notsys|1131||Y|20081113140642|
notsysadm|5B97C50B03BC6110E0404F8189D85213|1.0|notsysadm|1132||Y|20081113140642|
quickstart|5B97C50B03D86110E0404F8189D85213|1.0|quickstart|1109||Y|20081113140646|
supervisor|5B97C50B03D96110E0404F8189D85213|1.0|supervisr|1134||Y|20081113140647|
test1|5B97C50B03DA6110E0404F8189D85213|1.0|test1|1127||Y|20081113140647|
test2|5B97C50B03DB6110E0404F8189D85213|1.0|test2|1128||Y|20081113140647|
testadmin1|5B97C50B03BD6110E0404F8189D85213|1.0|testadmin1|1101||Y|20081113140642|
testadmin2|5B97C50B03BE6110E0404F8189D85213|1.0|testadmin2|1102||Y|20081113140642|
testuser1|5B97C50B03BF6110E0404F8189D85213|1.0|testuser1|1103||Y|20081113140642|
testuser2|5B97C50B03C06110E0404F8189D85213|1.0|testuser2|1104||Y|20081113140643|
testuser3|5B97C50B03C16110E0404F8189D85213|1.0|testuser3|1105||Y|20081113140643|
testuser4|5B97C50B03C26110E0404F8189D85213|1.0|testuser4|1106||Y|20081113140643|
testuser5|5B97C50B03C36110E0404F8189D85213|1.0|testuser5|1107||Y|20081113140643|
testuser6|5B97C50B03C46110E0404F8189D85213|1.0|testuser6|1108||Y|20081113140643|
user1|5B97C50B03DC6110E0404F8189D85213|1.0|user1|1110||Y|20081113140647|
user2|5B97C50B03DD6110E0404F8189D85213|1.0|user2|1111||Y|20081113140647|
user3|5B97C50B03DE6110E0404F8189D85213|1.0|user3|1112||Y|20081113140647|
user4|5B97C50B03DF6110E0404F8189D85213|1.0|user4|1113||Y|20081113140648|
