"ENTITY_EMAIL_ID","OBJ_ID","ENTITY_ID","ENT_TYP_CD","EMAIL_TYP_CD","EMAIL_ADDR","DFLT_IND","ACTV_IND"
"1000","1000","1018","PERSON","WRK","test@email.edu","Y","Y"
"1001","1001","2943","PERSON","WRK","test@email.edu","Y","Y"
"1002","1002","3222","PERSON","WRK","test@email.edu","Y","Y"
"1003","1003","3626","PERSON","WRK","test@email.edu","Y","Y"
"1004","1004","3776","PERSON","WRK","test@email.edu","Y","Y"
"1005","1005","3803","PERSON","WRK","test@email.edu","Y","Y"
"1006","1006","3990","PERSON","WRK","test@email.edu","Y","Y"
"1100","1100","2743","PERSON","WRK","test@email.edu","Y","Y"
"1101","1101","2790","PERSON","WRK","test@email.edu","Y","Y"
"1102","1102","2835","PERSON","WRK","test@email.edu","Y","Y"
"1103","1103","2978","PERSON","WRK","test@email.edu","Y","Y"
"1104","1104","3094","PERSON","WRK","test@email.edu","Y","Y"
"1105","1105","4047","PERSON","WRK","test@email.edu","Y","Y"
"1106","1106","4048","PERSON","WRK","test@email.edu","Y","Y"
"1107","1107","4049","PERSON","WRK","test@email.edu","Y","Y"
"1108","1108","4050","PERSON","WRK","test@email.edu","Y","Y"
"1109","1109","4051","PERSON","WRK","test@email.edu","Y","Y"
"1110","1110","4052","PERSON","WRK","test@email.edu","Y","Y"
"1111","1111","4058","PERSON","WRK","test@email.edu","Y","Y"
"1112","1112","4059","PERSON","WRK","test@email.edu","Y","Y"
"1113","1113","4060","PERSON","WRK","test@email.edu","Y","Y"
"1114","1114","4061","PERSON","WRK","test@email.edu","Y","Y"
"1115","1115","4062","PERSON","WRK","test@email.edu","Y","Y"
"1116","1116","4068","PERSON","WRK","test@email.edu","Y","Y"
"1117","1117","4069","PERSON","WRK","test@email.edu","Y","Y"
"1118","1118","4070","PERSON","WRK","test@email.edu","Y","Y"
"1119","1119","4071","PERSON","WRK","test@email.edu","Y","Y"
"1120","1120","4072","PERSON","WRK","test@email.edu","Y","Y"
"1121","1121","4078","PERSON","WRK","test@email.edu","Y","Y"
"1122","1122","4079","PERSON","WRK","test@email.edu","Y","Y"
"1123","1123","4080","PERSON","WRK","test@email.edu","Y","Y"
"1124","1124","4081","PERSON","WRK","test@email.edu","Y","Y"
"1125","1125","4082","PERSON","WRK","test@email.edu","Y","Y"
"1126","1126","4088","PERSON","WRK","test@email.edu","Y","Y"
"1127","1127","4089","PERSON","WRK","test@email.edu","Y","Y"
"1128","1128","4090","PERSON","WRK","test@email.edu","Y","Y"
"1129","1129","4091","PERSON","WRK","test@email.edu","Y","Y"
"1130","1130","4092","PERSON","WRK","test@email.edu","Y","Y"
"1131","1131","4098","PERSON","WRK","test@email.edu","Y","Y"
"1132","1132","4099","PERSON","WRK","test@email.edu","Y","Y"
"1133","1133","4100","PERSON","WRK","test@email.edu","Y","Y"
"1134","1134","4101","PERSON","WRK","test@email.edu","Y","Y"
"1135","1135","4107","PERSON","WRK","test@email.edu","Y","Y"
"1136","1136","4108","PERSON","WRK","test@email.edu","Y","Y"
"1137","1137","4109","PERSON","WRK","test@email.edu","Y","Y"
"1138","1138","4110","PERSON","WRK","test@email.edu","Y","Y"
"1139","1139","4111","PERSON","WRK","test@email.edu","Y","Y"
