"ENTITY_EXT_ID_ID","OBJ_ID","ENTITY_ID","EXT_ID_TYP_CD","EXT_ID"
"4200","4200","1000","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4201","4201","1001","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4202","4202","1002","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4203","4203","1003","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4204","4204","1004","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4205","4205","1005","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4206","4206","1006","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4207","4207","1007","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4208","4208","1008","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4209","4209","1009","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4210","4210","1010","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4211","4211","1011","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4212","4212","1012","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4213","4213","1013","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4214","4214","1014","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4215","4215","1015","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4216","4216","1016","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4217","4217","1017","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4218","4218","1018","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4219","4219","1019","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4220","4220","1020","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4221","4221","1021","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4222","4222","1022","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4223","4223","1023","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4224","4224","1024","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4225","4225","1025","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4226","4226","1026","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4227","4227","1027","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4228","4228","1028","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4229","4229","1029","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4230","4230","1030","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4231","4231","1031","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4232","4232","1032","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4233","4233","1033","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4234","4234","1035","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4235","4235","1036","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4236","4236","1037","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4237","4237","1038","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4238","4238","1039","TAX","XBy8HbA0p2kc3lalnjPKpA=="
"4239","4239","1040","TAX","XBy8HbA0p2kc3lalnjPKpA=="
