"ENTITY_NM_ID","OBJ_ID","ENTITY_ID","NM_TYP_CD","FIRST_NM","MIDDLE_NM","LAST_NM","SUFFIX_NM","TITLE_NM","DFLT_IND","ACTV_IND"
"1000","1000","1000","PRFR","DELLA","Y","WOODS","","","Y","Y"
"1001","1001","1001","PRFR","JAY","H","HOULIHAN","","","Y","Y"
"1002","1002","1002","PRFR","RAYMOND","B","PAULIN","","","Y","Y"
"1003","1003","1003","PRFR","INEZ","D","CHEW","","","Y","Y"
"1004","1004","1004","PRFR","NICHOLAS","Y","MAJORS","","","Y","Y"
"1005","1005","1005","PRFR","DOMINIC","O","NUGENT","","","Y","Y"
"1006","1006","1006","PRFR","MARLON","B","SHORTER","","","Y","Y"
"1007","1007","1007","PRFR","MARGUERITE","H","UNDERWOOD","","","Y","Y"
"1008","1008","1008","PRFR","HIRAM","W","EUBANK","","","Y","Y"
"1009","1009","1009","PRFR","LLOYD","V","BARGER","","","Y","Y"
"1010","1010","1010","PRFR","JUANA","C","KAHLER","","","Y","Y"
"1011","1011","1011","PRFR","ELBA","B","BYLER","","","Y","Y"
"1012","1012","1012","PRFR","ALAN","E","MCAFEE","","","Y","Y"
"1013","1013","1013","PRFR","HENRY","F","WESTFALL","","","Y","Y"
"1014","1014","1014","PRFR","BURT","B","SHANKLE","","","Y","Y"
"1015","1015","1015","PRFR","ROBERTA","L","FERLAND","","","Y","Y"
"1016","1016","1016","PRFR","KENDRICK","H","CRABTREE","","","Y","Y"
"1017","1017","1017","PRFR","OLIVE","P","FELKER","","","Y","Y"
"1018","1018","1018","PRFR","AUDREY","F","MARTIN","","","Y","Y"
"1019","1019","1019","PRFR","EVERETTE","W","STERNER","","","Y","Y"
"1020","1020","1020","PRFR","CORINA","H","BAYLESS","","","Y","Y"
"1021","1021","1021","PRFR","THEODORE","M","KATO","","","Y","Y"
"1022","1022","1022","PRFR","CLAUDIA","P","HOVIS","","","Y","Y"
"1023","1023","1023","PRFR","RAFAEL","N","MCINTYRE","","","Y","Y"
"1024","1024","1024","PRFR","EMORY","W","EAGLE","","","Y","Y"
"1025","1025","1025","PRFR","OPAL","V","BLOOD","","","Y","Y"
"1026","1026","1026","PRFR","MITZI","J","POND","","","Y","Y"
"1027","1027","1027","PRFR","ANGELICA","C","FLAHERTY","","","Y","Y"
"1028","1028","1028","PRFR","MASON","U","KOSS","","","Y","Y"
"1029","1029","1029","PRFR","ORA","U","MCEACHERN","","","Y","Y"
"1030","1030","1030","PRFR","WM","T","ACUNA","","","Y","Y"
"1031","1031","1031","PRFR","MARITZA","D","SCHULTE","","","Y","Y"
"1032","1032","1032","PRFR","OLIVER","M","DEVRIES","","","Y","Y"
"1033","1033","1033","PRFR","DARREN","X","DEVANEY","","","Y","Y"
"1035","1035","1035","PRFR","LOGAN","V","CLINKSCALES","","","Y","Y"
"1036","1036","1036","PRFR","ANTWAN","I","BRUNELLE","","","Y","Y"
"1037","1037","1037","PRFR","CONCETTA","N","BERNAL","","","Y","Y"
"1038","1038","1038","PRFR","BARBRA","L","BORST","","","Y","Y"
"1039","1039","1039","PRFR","WALLACE","W","SOILEAU","","","Y","Y"
"1040","1040","1040","PRFR","ALTHEA","Q","BURD","","","Y","Y"
"1041","1041","1041","PRFR","LOUELLA","S","ENGEL","","","Y","Y"
"1042","1042","1042","PRFR","FAYE","L","HEADLEY","","","Y","Y"
"1043","1043","1043","PRFR","RONDA","P","GAILEY","","","Y","Y"
"1044","1044","1044","PRFR","IVAN","X","SHIELDS","","","Y","Y"
"1045","1045","1045","PRFR","OLIVER","M","ELGIN","","","Y","Y"
"1046","1046","1046","PRFR","BEATRIZ","R","BOMAN","","","Y","Y"
"1047","1047","1047","PRFR","TREVOR","N","DUGGINS","","","Y","Y"
"1048","1048","1048","PRFR","KELLY","H","OWENS","","","Y","Y"
"1049","1049","1049","PRFR","NOELLE","R","DARR","","","Y","Y"
"1050","1050","1050","PRFR","CECILE","Z","CARY","","","Y","Y"
"1052","1052","1052","PRFR","DAMON","Q","RALSTON","","","Y","Y"
"1053","1053","1053","PRFR","MERRILL","W","MARTIN","","","Y","Y"
"1054","1054","1054","PRFR","BERT","Z","PALLADINO","","","Y","Y"
"1055","1055","1055","PRFR","CHERYL","M","DUNKLE","","","Y","Y"
"1056","1056","1056","PRFR","CARL","S","CHASE","","","Y","Y"
"1057","1057","1057","PRFR","KRISTOPHER","G","WEIS","","","Y","Y"
"1058","1058","1058","PRFR","AMY","J","LINDHOLM","","","Y","Y"
"1059","1059","1059","PRFR","AMELIA","M","MUNFORD","","","Y","Y"
"1060","1060","1060","PRFR","TRACIE","M","HAVILAND","","","Y","Y"
"1061","1061","1061","PRFR","MELISSA","L","THEISS","","","Y","Y"
"1062","1062","1062","PRFR","SAMMIE","U","PICKARD","","","Y","Y"
"1063","1063","1063","PRFR","MERCEDES","D","BIRD","","","Y","Y"
"1064","1064","1064","PRFR","AVIS","B","DUNSON","","","Y","Y"
"1065","1065","1065","PRFR","AL","S","GRINDLE","","","Y","Y"
"1066","1066","1066","PRFR","LEONEL","X","BILLER","","","Y","Y"
"1067","1067","1067","PRFR","KELLI","A","NOLAND","","","Y","Y"
"1068","1068","1068","PRFR","JOE","G","DANIELSON","","","Y","Y"
"1069","1069","1069","PRFR","NEWTON","Y","FLESHER","","","Y","Y"
"1070","1070","1070","PRFR","VANESSA","X","YOON","","","Y","Y"
"1071","1071","1071","PRFR","MONICA","R","BUNNELL","","","Y","Y"
"1072","1072","1072","PRFR","MABEL","D","MICHELS","","","Y","Y"
"1073","1073","1073","PRFR","LAKISHA","T","DURBIN","","","Y","Y"
"1074","1074","1074","PRFR","BARRY","R","BLACKWOOD","","","Y","Y"
"1075","1075","1075","PRFR","SASHA","S","JACOBO","","","Y","Y"
"1076","1076","1076","PRFR","VONDA","W","BARTH","","","Y","Y"
"1077","1077","1077","PRFR","NOE","F","FANG","","","Y","Y"
"1078","1078","1078","PRFR","ALEXANDER","E","SHARMA","","","Y","Y"
"1079","1079","1079","PRFR","MILLARD","K","RODRIGUEZ","","","Y","Y"
"1080","1080","1080","PRFR","EUGENIO","P","YON","","","Y","Y"
"1081","1081","1081","PRFR","DEBORA","Y","EARLEY","","","Y","Y"
"1082","1082","1082","PRFR","ROBERT","M","ONEIL","","","Y","Y"
"1083","1083","1083","PRFR","HATTIE","P","STRINGER","","","Y","Y"
"1084","1084","1084","PRFR","TAMIKA","L","PENROD","","","Y","Y"
"1085","1085","1085","PRFR","KRIS","Y","JAMISON","","","Y","Y"
"1086","1086","1086","PRFR","STACIE","U","ARRIAGA","","","Y","Y"
"1087","1087","1087","PRFR","QUENTIN","G","MEDLEY","","","Y","Y"
"1088","1088","1088","PRFR","KENDRA","E","KNUDSEN","","","Y","Y"
"1089","1089","1089","PRFR","NORMAND","X","VALDIVIA","","","Y","Y"
"1090","1090","1090","PRFR","ROSENDO","M","HUTCHINSON","","","Y","Y"
"1091","1091","1091","PRFR","MONTY","C","CROCKETT","","","Y","Y"
"1092","1092","1092","PRFR","STACY","J","IVES","","","Y","Y"
"1093","1093","1093","PRFR","LEAH","L","TOY","","","Y","Y"
"1094","1094","1094","PRFR","ARTHUR","B","HAFNER","","","Y","Y"
"1095","1095","1095","PRFR","ERMA","A","SIGLER","","","Y","Y"
"1096","1096","1096","PRFR","FLORENCE","X","PROVINCE","","","Y","Y"
"1097","1097","1097","PRFR","TERRI","O","KEELE","","","Y","Y"
"1098","1098","1098","PRFR","HILLARY","T","SINGLETARY","","","Y","Y"
"1099","1099","1099","PRFR","EMMETT","Z","MARTIN","","","Y","Y"
"1100","1100","1100","PRFR","ALVIN","Y","CARVAJAL","","","Y","Y"
"1101","1101","1101","PRFR","ERIK","B","LEFLORE","","","Y","Y"
"1102","1102","1102","PRFR","BILLY","M","WORCESTER","","","Y","Y"
"1103","1103","1103","PRFR","VONDA","L","CRAVER","","","Y","Y"
"1104","1104","1104","PRFR","YOLANDA","Z","STEED","","","Y","Y"
"1105","1105","1105","PRFR","VERA","Y","STALEY","","","Y","Y"
