ENTITY_ADDR_ID,OBJ_ID,ENTITY_ID,ENT_TYP_CD,ADDR_TYP_CD,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,CITY,STATE_PVC_CD,POSTAL_CD,POSTAL_CNTRY_CD,DFLT_IND,ACTV_IND
10186,KFS-TEM-KRIM-ADDR-0001,KFS2906,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10187,KFS-TEM-KRIM-ADDR-0002,KFS3758,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10188,KFS-TEM-KRIM-ADDR-0003,KFS3746,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10189,KFS-TEM-KRIM-ADDR-0004,KFS3121,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10190,KFS-TEM-KRIM-ADDR-0005,KFS3687,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10191,KFS-TEM-KRIM-ADDR-0006,KFS2552,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10192,KFS-TEM-KRIM-ADDR-0007,KFS2974,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10193,KFS-TEM-KRIM-ADDR-0008,KFS3662,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10194,KFS-TEM-KRIM-ADDR-0009,KFS3839,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10195,KFS-TEM-KRIM-ADDR-0010,KFS2607,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10196,KFS-TEM-KRIM-ADDR-0011,KFS3193,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10197,KFS-TEM-KRIM-ADDR-0012,KFS3513,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10198,KFS-TEM-KRIM-ADDR-0013,KFS3128,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10199,KFS-TEM-KRIM-ADDR-0014,KFS1080,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10200,KFS-TEM-KRIM-ADDR-0015,KFS3126,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10201,KFS-TEM-KRIM-ADDR-0016,KFS3946,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10202,KFS-TEM-KRIM-ADDR-0017,KFS3218,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
