"ENTITY_EMAIL_ID","OBJ_ID","ENTITY_ID","ENT_TYP_CD","EMAIL_TYP_CD","EMAIL_ADDR","DFLT_IND","ACTV_IND"
"KFS1000","KFS1000","KFS1018","PERSON","WRK","test@email.edu","Y","Y"
"KFS1001","KFS1001","KFS2943","PERSON","WRK","test@email.edu","Y","Y"
"KFS1002","KFS1002","KFS3222","PERSON","WRK","test@email.edu","Y","Y"
"KFS1003","KFS1003","KFS3626","PERSON","WRK","test@email.edu","Y","Y"
"KFS1004","KFS1004","KFS3776","PERSON","WRK","test@email.edu","Y","Y"
"KFS1005","KFS1005","KFS3803","PERSON","WRK","test@email.edu","Y","Y"
"KFS1006","KFS1006","KFS3990","PERSON","WRK","test@email.edu","Y","Y"
"KFS1100","KFS1100","KFS2743","PERSON","WRK","test@email.edu","Y","Y"
"KFS1101","KFS1101","KFS2790","PERSON","WRK","test@email.edu","Y","Y"
"KFS1102","KFS1102","KFS2835","PERSON","WRK","test@email.edu","Y","Y"
"KFS1103","KFS1103","KFS2978","PERSON","WRK","test@email.edu","Y","Y"
"KFS1104","KFS1104","KFS3094","PERSON","WRK","test@email.edu","Y","Y"
"KFS1105","KFS1105","KFS4047","PERSON","WRK","test@email.edu","Y","Y"
"KFS1106","KFS1106","KFS4048","PERSON","WRK","test@email.edu","Y","Y"
"KFS1107","KFS1107","KFS4049","PERSON","WRK","test@email.edu","Y","Y"
"KFS1108","KFS1108","KFS4050","PERSON","WRK","test@email.edu","Y","Y"
"KFS1109","KFS1109","KFS4051","PERSON","WRK","test@email.edu","Y","Y"
"KFS1110","KFS1110","KFS4052","PERSON","WRK","test@email.edu","Y","Y"
"KFS1111","KFS1111","KFS4058","PERSON","WRK","test@email.edu","Y","Y"
"KFS1112","KFS1112","KFS4059","PERSON","WRK","test@email.edu","Y","Y"
"KFS1113","KFS1113","KFS4060","PERSON","WRK","test@email.edu","Y","Y"
"KFS1114","KFS1114","KFS4061","PERSON","WRK","test@email.edu","Y","Y"
"KFS1115","KFS1115","KFS4062","PERSON","WRK","test@email.edu","Y","Y"
"KFS1116","KFS1116","KFS4068","PERSON","WRK","test@email.edu","Y","Y"
"KFS1117","KFS1117","KFS4069","PERSON","WRK","test@email.edu","Y","Y"
"KFS1118","KFS1118","KFS4070","PERSON","WRK","test@email.edu","Y","Y"
"KFS1119","KFS1119","KFS4071","PERSON","WRK","test@email.edu","Y","Y"
"KFS1120","KFS1120","KFS4072","PERSON","WRK","test@email.edu","Y","Y"
"KFS1121","KFS1121","KFS4078","PERSON","WRK","test@email.edu","Y","Y"
"KFS1122","KFS1122","KFS4079","PERSON","WRK","test@email.edu","Y","Y"
"KFS1123","KFS1123","KFS4080","PERSON","WRK","test@email.edu","Y","Y"
"KFS1124","KFS1124","KFS4081","PERSON","WRK","test@email.edu","Y","Y"
"KFS1125","KFS1125","KFS4082","PERSON","WRK","test@email.edu","Y","Y"
"KFS1126","KFS1126","KFS4088","PERSON","WRK","test@email.edu","Y","Y"
"KFS1127","KFS1127","KFS4089","PERSON","WRK","test@email.edu","Y","Y"
"KFS1128","KFS1128","KFS4090","PERSON","WRK","test@email.edu","Y","Y"
"KFS1129","KFS1129","KFS4091","PERSON","WRK","test@email.edu","Y","Y"
"KFS1130","KFS1130","KFS4092","PERSON","WRK","test@email.edu","Y","Y"
"KFS1131","KFS1131","KFS4098","PERSON","WRK","test@email.edu","Y","Y"
"KFS1132","KFS1132","KFS4099","PERSON","WRK","test@email.edu","Y","Y"
"KFS1133","KFS1133","KFS4100","PERSON","WRK","test@email.edu","Y","Y"
"KFS1134","KFS1134","KFS4101","PERSON","WRK","test@email.edu","Y","Y"
"KFS1135","KFS1135","KFS4107","PERSON","WRK","test@email.edu","Y","Y"
"KFS1136","KFS1136","KFS4108","PERSON","WRK","test@email.edu","Y","Y"
"KFS1137","KFS1137","KFS4109","PERSON","WRK","test@email.edu","Y","Y"
"KFS1138","KFS1138","KFS4110","PERSON","WRK","test@email.edu","Y","Y"
"KFS1139","KFS1139","KFS4111","PERSON","WRK","test@email.edu","Y","Y"
