"ENTITY_EMP_ID","OBJ_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","BASE_SLRY_AMT","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID"
"KFS1000","KFS1000","KFS1000","KFS1000","A","N","50000","Y","Y","IN-ENGT","0000000001","1"
"KFS1001","KFS1001","KFS1001","KFS1001","T","N","50000","Y","Y","BL-BL","0000000002","1"
"KFS1002","KFS1002","KFS1002","KFS1002","A","N","50000","Y","Y","IN-ANES","0000000003","1"
"KFS1003","KFS1003","KFS1003","KFS1003","T","P","50000","Y","Y","IN-IN","0000000004","1"
"KFS1004","KFS1004","KFS1004","KFS1004","T","N","50000","Y","Y","IN-IN","0000000005","1"
"KFS1005","KFS1005","KFS1005","KFS1005","A","P","50000","Y","Y","BL-BL","0000000006","1"
"KFS1006","KFS1006","KFS1006","KFS1006","A","P","50000","Y","Y","BL-BL","0000000007","1"
"KFS1007","KFS1007","KFS1007","KFS1007","A","P","50000","Y","Y","BL-BL","0000000008","1"
"KFS1008","KFS1008","KFS1008","KFS1008","A","P","50000","Y","Y","BL-BL","0000000009","1"
"KFS1009","KFS1009","KFS1009","KFS1009","A","P","50000","Y","Y","BL-BL","0000000010","1"
"KFS1010","KFS1010","KFS1010","KFS1010","A","P","50000","Y","Y","BL-BL","0000000011","1"
"KFS1011","KFS1011","KFS1011","KFS1011","A","P","50000","Y","Y","BL-ARSD","0000000012","1"
"KFS1012","KFS1012","KFS1012","KFS1012","A","P","50000","Y","Y","BL-BL","0000000013","1"
"KFS1013","KFS1013","KFS1013","KFS1013","A","P","50000","Y","Y","BL-ARSD","0000000014","1"
"KFS1014","KFS1014","KFS1014","KFS1014","A","P","50000","Y","Y","BL-BL","0000000015","1"
"KFS1015","KFS1015","KFS1015","KFS1015","A","P","50000","Y","Y","BL-ARSD","0000000016","1"
"KFS1016","KFS1016","KFS1016","KFS1016","A","P","50000","Y","Y","BL-BL","0000000017","1"
"KFS1017","KFS1017","KFS1017","KFS1017","A","P","50000","Y","Y","BL-ARSD","0000000018","1"
"KFS1018","KFS1018","KFS1018","KFS1018","A","P","50000","Y","Y","BL-ARSD","0000000019","1"
"KFS1019","KFS1019","KFS1019","KFS1019","A","P","50000","Y","Y","BL-ARSD","0000000020","1"
"KFS1020","KFS1020","KFS1020","KFS1020","A","P","50000","Y","Y","BL-BL","0000000021","1"
"KFS1021","KFS1021","KFS1021","KFS1021","A","P","50000","Y","Y","BL-BL","0000000022","1"
"KFS1022","KFS1022","KFS1022","KFS1022","A","P","50000","Y","Y","BL-BL","0000000023","1"
"KFS1023","KFS1023","KFS1023","KFS1023","T","N","50000","Y","Y","BL-BL","0000000024","1"
"KFS1024","KFS1024","KFS1024","KFS1024","T","N","50000","Y","Y","BL-BRAD","0000000025","1"
"KFS1025","KFS1025","KFS1025","KFS1025","T","N","50000","Y","Y","BL-BL","0000000026","1"
"KFS1026","KFS1026","KFS1026","KFS1026","T","N","50000","Y","Y","BL-BL","0000000027","1"
"KFS1027","KFS1027","KFS1027","KFS1027","T","N","50000","Y","Y","BL-BL","0000000028","1"
"KFS1028","KFS1028","KFS1028","KFS1028","T","N","50000","Y","Y","BL-BL","0000000029","1"
"KFS1029","KFS1029","KFS1029","KFS1029","T","N","50000","Y","Y","BL-BL","0000000030","1"
"KFS1030","KFS1030","KFS1030","KFS1030","T","N","50000","Y","Y","BL-BL","0000000031","1"
