ENTITY_PHONE_ID,OBJ_ID,ENTITY_ID,ENT_TYP_CD,PHONE_TYP_CD,PHONE_NBR,PHONE_EXTN_NBR,POSTAL_CNTRY_CD,DFLT_IND,ACTV_IND
10000,KFS-TEM-KRIM-PHONE-0001,KFS3776,PERSON,WRK,800-555-1212,,US,Y,Y
10229,KFS-TEM-KRIM-PHONE-0002,KFS2019,PERSON,WRK,800-555-1212,,US,Y,Y
10230,KFS-TEM-KRIM-PHONE-0003,KFS3923,PERSON,WRK,800-555-1212,,US,Y,Y
10231,KFS-TEM-KRIM-PHONE-0004,KFS3691,PERSON,WRK,800-555-1212,,US,Y,Y
10232,KFS-TEM-KRIM-PHONE-0005,KFS2284,PERSON,WRK,800-555-1212,,US,Y,Y
10233,KFS-TEM-KRIM-PHONE-0006,KFS2891,PERSON,WRK,800-555-1212,,US,Y,Y
10234,KFS-TEM-KRIM-PHONE-0007,KFS3652,PERSON,WRK,800-555-1212,,US,Y,Y
10235,KFS-TEM-KRIM-PHONE-0008,KFS3931,PERSON,WRK,800-555-1212,,US,Y,Y
10236,KFS-TEM-KRIM-PHONE-0009,KFS3017,PERSON,WRK,800-555-1212,,US,Y,Y
10237,KFS-TEM-KRIM-PHONE-0010,KFS3666,PERSON,WRK,800-555-1212,,US,Y,Y
10238,KFS-TEM-KRIM-PHONE-0011,KFS3247,PERSON,WRK,800-555-1212,,US,Y,Y
10239,KFS-TEM-KRIM-PHONE-0012,KFS3423,PERSON,WRK,800-555-1212,,US,Y,Y
10240,KFS-TEM-KRIM-PHONE-0013,KFS4046,PERSON,WRK,800-555-1212,,US,Y,Y
10241,KFS-TEM-KRIM-PHONE-0014,1125,PERSON,WRK,800-555-1212,,US,Y,Y
10242,KFS-TEM-KRIM-PHONE-0015,1126,PERSON,WRK,800-555-1212,,US,Y,Y
10243,KFS-TEM-KRIM-PHONE-0016,1129,PERSON,WRK,800-555-1212,,US,Y,Y
10244,KFS-TEM-KRIM-PHONE-0017,1130,PERSON,WRK,800-555-1212,,US,Y,Y
10245,KFS-TEM-KRIM-PHONE-0018,1135,PERSON,WRK,800-555-1212,,US,Y,Y
10246,KFS-TEM-KRIM-PHONE-0019,1121,PERSON,WRK,800-555-1212,,US,Y,Y
10247,KFS-TEM-KRIM-PHONE-0020,1116,PERSON,WRK,800-555-1212,,US,Y,Y
10248,KFS-TEM-KRIM-PHONE-0021,1114,PERSON,WRK,800-555-1212,,US,Y,Y
10249,KFS-TEM-KRIM-PHONE-0022,1137,PERSON,WRK,800-555-1212,,US,Y,Y
10250,KFS-TEM-KRIM-PHONE-0023,1115,PERSON,WRK,800-555-1212,,US,Y,Y
10251,KFS-TEM-KRIM-PHONE-0024,1117,PERSON,WRK,800-555-1212,,US,Y,Y
10252,KFS-TEM-KRIM-PHONE-0025,1119,PERSON,WRK,800-555-1212,,US,Y,Y
10253,KFS-TEM-KRIM-PHONE-0026,1120,PERSON,WRK,800-555-1212,,US,Y,Y
10254,KFS-TEM-KRIM-PHONE-0027,1118,PERSON,WRK,800-555-1212,,US,Y,Y
10255,KFS-TEM-KRIM-PHONE-0028,1122,PERSON,WRK,800-555-1212,,US,Y,Y
10256,KFS-TEM-KRIM-PHONE-0029,1123,PERSON,WRK,800-555-1212,,US,Y,Y
10257,KFS-TEM-KRIM-PHONE-0030,1124,PERSON,WRK,800-555-1212,,US,Y,Y
10258,KFS-TEM-KRIM-PHONE-0031,1136,PERSON,WRK,800-555-1212,,US,Y,Y
10259,KFS-TEM-KRIM-PHONE-0032,1133,PERSON,WRK,800-555-1212,,US,Y,Y
10260,KFS-TEM-KRIM-PHONE-0033,1131,PERSON,WRK,800-555-1212,,US,Y,Y
10261,KFS-TEM-KRIM-PHONE-0034,1132,PERSON,WRK,800-555-1212,,US,Y,Y
10262,KFS-TEM-KRIM-PHONE-0035,1109,PERSON,WRK,800-555-1212,,US,Y,Y
10263,KFS-TEM-KRIM-PHONE-0036,1134,PERSON,WRK,800-555-1212,,US,Y,Y
10264,KFS-TEM-KRIM-PHONE-0037,1127,PERSON,WRK,800-555-1212,,US,Y,Y
10265,KFS-TEM-KRIM-PHONE-0038,1128,PERSON,WRK,800-555-1212,,US,Y,Y
10266,KFS-TEM-KRIM-PHONE-0039,1101,PERSON,WRK,800-555-1212,,US,Y,Y
